"Product Group","Status","Compliance","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (µA)","PPK Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"SZESDL2012MX2WT5G","Active","H Pb A P ","USB 3.0, ","1, ","Bidirectional, ","0.35, ","1.4, ","1, ","0.5, ","0.312, ","1.60 x 0.80 x 0.37, ","X2DFNW2 1.60x0.80 ","1 ","260 ","0.0512 ",
"ESDL2012MX4T5G","Active","H Pb   ","Thunderbolt, USB 3.0, ","1, ","Bidirectional, ","0.23, ","1.4, ","1, ","0.5, ","0.313, ","0.60 x 0.30 x 0.20, ","DFN-2 ","1 ","260 ","0.0305 ",
"ESDL2031MX4T5G","Active","H Pb   ","USB 3.0, ","1, ","Bidirectional, ","0.55, ","5.1, ","4, ","1, ","64, ","0.60 x 0.30 x 0.20, ","DFN-2 ","1 ","260 ","0.0329 ",
"ESDL3552BPFCT5G","Active","H Pb   ","USB 2.0, USB 3.0, USB 3.1, ","2, ","Bidirectional, ","0.25, ","6.5, ","5, ","0.05, ","40, ","0.62 x 0.32 x 0.20, ","X4DFN-3 ","1 ","260 ","0.0484 ",
"ESDM1021MX4T5G","Active, New","H Pb A  ","Audio, I2C, SPI, V<sub>bus</sub>, ","1, ","Bidirectional, ","23, ","3.7, ","2, ","0.1, ","72, ","0.445 x 0.24 x 0.18, ","X4DFN-2 ","1 ","260 ","0.0 ",
"ESDM1051MX4T5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","24, ","6.1, ","5.5, ","0.1, ","90, ","0.445 x 0.24 x 0.18, ","X4DFN-2 ","1 ","260 ","0.0333 ",
"ESDM2032MX4T5G","Active","H Pb   ","Audio, General I/O, Power Supply Rails, SIM Card, ","1, ","Bidirectional, ","23 pF, ","3.7V, ","3.3V, ","500nA, ","120, ","0.60 x 0.30 x 0.20, ","DFN-2 ","1 ","260 ","0.0337 ",
"ESDM2033MX4T5G","Active","H Pb   ","Audio, General I/O, SIM Card, USB 2.0, ","1, ","Bidirectional, ","5.5, ","3.68, ","3.3, ","0.1, ","22, ","0.60 x 0.30 x 0.20, ","DFN-2 ","1 ","260 ","0.0372 ",
"ESDONCAN1LT3G","Active","H Pb   ","CAN, CAN-FD, ","2, ","Bidirectional, ","10, ","26.2, ","24, ","0.1, ","200, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0829 ",
"SESDONCAN1LT3G","Active","H Pb A P ","CAN, CAN-FD, ","2, ","Bidirectional, ","10, ","26.2, ","24, ","0.1, ","200, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.1072 ",
"SESDONCAN1LT1G","Active","H Pb A P ","CAN, CAN-FD, ","2, ","Bidirectional, ","10, ","26.2, ","24, ","0.1, ","200, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.1072 ",
"ESDONCAN1LT1G","Active","H Pb   ","CAN, CAN-FD, ","2, ","Bidirectional, ","10, ","26.2, ","24, ","0.1, ","200, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0843 ",
"SZESDR0502BT1G","Active","H Pb A P ","USB 2.0, ","2, ","Unidirectional, ","0.45, ","5.8, ","5, ","1, ","20, ","1.60 x 1.60 x 0.80, ","SC-75-3 ","1 ","260 ","0.076 ",
"ESDR0502BT1G","Active","H Pb   ","USB 2.0, ","2, ","Unidirectional, ","0.45, ","5.8, ","5, ","1, ","20, ","1.60 x 1.60 x 0.80, ","SC-75-3 ","1 ","260 ","0.066 ",
"ESDR0502NMUTAG","Active","H Pb   ","Ethernet (10/100, Gigabit), USB 2.0, ","4, ","Unidirectional, ","0.6, ","6, ","5.5, ","1, ","100, ","1.20 x 1.00 x 0.50, ","UDFN-6 ","1 ","260 ","0.0568 ",
"ESDR0502NMUTBG","Active","H Pb   ","Ethernet (10/100, Gigabit), USB 2.0, ","4, ","Unidirectional, ","0.6, ","6, ","5.5, ","1, ","100, ","1.20 x 1.00 x 0.50, ","UDFN-6 ","1 ","260 ","0.0548 ",
"ESDR0524PMUTAG","Active","H Pb   ","Display Port, DVI, eSATA 2.0, HDMI 1.3/1.4, ","4, ","Unidirectional, ","0.4, ","6, ","5, ","1, ","11.1, ","2.50 x 1.00 x 0.50, ","UDFN-10 ","1 ","260 ","0.1068 ",
"ESDU1052FCT5G","Active","H Pb   ","Audio, I2C, USB 2.0, V<sub>bus</sub>, ","1, ","Unidirectional, ","4, ","5.9, ","5.5, ","0.1, ","100, ","0.435 x 0.23 x 0.18, ","DSN2, 0.435x0.23, 0.28P ","1 ","260 ","0.0292 ",
"ESDU3121MXT5G","Active","H Pb   ","Power Supply Rails, V<sub>bus</sub>, ","1, ","Unidirectional, ","65, ","14.1, ","12, ","0.1, ","220, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.0295 ",
"LC03-6R2G","Active","H Pb   ","Ethernet (10/100, Gigabit), T1/E1, T3/E3, ","2, ","Unidirectional, ","25, ","6, ","5, ","20, ","2000, ","4.90 x 6.00 x 1.55, ","SOIC-8 ","1 ","260 ","0.4755 ",
"MA3075WALT1G","Active","H Pb   ","General I/O, ","2, ","Unidirectional, ","80, ","7.2, ","5, ","1, ","15, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0807 ",
"SZMG2040MUTAG","Active","H Pb A P ","Display Port, HDMI 1.3/1.4, ","14, ","Unidirectional, ","0.42, ","5.5, ","5, ","1, ","10.7, ","5.50 x 1.50 x 0.50, ","UDFN-18 ","1 ","260 ","0.3168 ",
"MG2040MUTAG","Active","H Pb   ","Display Port, HDMI 1.3/1.4, ","14, ","Unidirectional, ","0.42, ","5.5, ","5, ","1, ","10.7, ","5.50 x 1.50 x 0.50, ","UDFN-18 ","1 ","260 ","0.3311 ",
"MMQA12VT1G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","-, -, ","11.4, ","9.1, ","0.075, ","150, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0609 ",
"MMQA13VT1G","Consult Sales Office","H Pb   ","-, ","4, ","Unidirectional, ","-, ","12.4, ","-, ","0.075, ","24, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0 ",
"MMQA15VT1G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","-, ","14.3, ","11, ","0.075, ","150, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0657 ",
"SZMMQA18VT1G","Active","H Pb A P ","General I/O, ","4, ","Unidirectional, ","80, ","17.1, ","14, ","0.075, ","150, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0807 ",
"MMQA18VT1G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","80, ","17.1, ","14, ","0.075, ","150, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0767 ",
"MMQA20VT1G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","-, -, ","19, ","21, ","0.075, ","150, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0652 ",
